,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
86,DARKEN,0.5,0.278,0.278,0.278,0.333,4.833,visual
87,SUNDRESS,0.389,0.278,2.389,0.333,0.278,4.833,visual
88,ROADWORK,3.222,0.222,0.556,0.5,0.667,4.833,visual
89,GOOD LOOKS,0.333,0.278,0.778,1.5,0.333,4.833,visual
90,HAIR DRYER,4.824,0.0,4.588,1.0,0.765,4.824,visual
91,STRING CHEESE,0.0,4.941,4.412,0.647,3.824,4.824,visual
92,MOVIE,4.412,0.0,0.176,0.176,0.0,4.824,visual
93,LION,3.882,0.471,1.824,0.941,0.941,4.824,visual
94,PATCHWORK QUILT,0.176,0.0,3.588,0.353,0.235,4.824,visual
95,REARVIEW MIRROR,0.118,0.0,2.118,0.235,0.059,4.824,visual
96,COMPUTER SYSTEM,2.176,0.0,2.471,0.0,0.176,4.824,visual
97,GLARING,0.529,0.176,0.118,0.941,0.353,4.824,visual
98,POSTMAN,2.882,0.0,0.941,0.0,0.059,4.824,visual
99,SUNFLOWER,0.059,0.588,2.647,0.0,1.588,4.824,visual
100,SMIRKING,0.059,0.0,0.294,1.059,0.0,4.824,visual
101,GRAPHICAL,0.412,0.0,0.471,0.235,0.0,4.824,visual
102,NIGHTLIGHT,0.118,0.0,0.824,0.235,0.0,4.824,visual
103,UPPERCASE,0.235,0.0,0.059,0.0,0.0,4.824,visual
104,FIREWORKS,4.588,0.118,1.294,1.0,1.882,4.824,visual
105,GIANTESS,1.25,0.0,1.312,0.625,0.062,4.812,visual
106,LONGHAIR,0.875,0.0,3.0,0.312,0.5,4.812,visual
107,MOUNTAIN BIKE,0.75,0.062,3.062,0.125,0.188,4.812,visual
108,NAKED,0.438,0.438,3.375,1.812,0.375,4.812,visual
109,ALLIGATOR,2.375,1.188,1.875,0.5,0.5,4.812,visual
110,PRETTINESS,0.562,0.062,1.375,1.25,0.375,4.812,visual
111,SWIMMINGPOOL,2.188,1.062,3.938,1.875,2.312,4.812,visual
112,ILLUSTRATION,0.5,0.062,1.5,0.188,0.0,4.812,visual
113,TENT,0.625,0.0,3.188,0.312,0.562,4.812,visual
114,WINDOWLESS,0.25,0.25,1.188,0.625,0.438,4.812,visual
115,LOOK AROUND,0.366,0.024,0.268,0.585,0.049,4.805,visual
116,APPEARANCE,0.25,0.0,0.85,0.4,0.25,4.8,visual
117,SWASTIKA,0.733,0.0,0.533,0.6,0.0,4.8,visual
118,TELECAST,4.533,0.0,0.0,0.067,0.0,4.8,visual
119,POWER LINE,0.933,0.0,1.133,0.267,0.533,4.8,visual
120,ARCHITECTURE,0.3,0.0,1.0,0.0,0.0,4.8,visual
121,WEBBROWSER,0.7,0.2,0.9,0.25,0.2,4.8,visual
122,BALL GAME,4.267,0.333,0.8,1.2,1.067,4.8,visual
123,SHIRT,0.333,0.4,4.2,0.533,0.8,4.8,visual
124,LIGHT BULB,0.158,0.0,2.053,0.105,0.053,4.789,visual
125,GLIMMER,0.105,0.0,0.368,0.579,0.0,4.789,visual
126,CAT,3.526,0.263,3.632,0.105,1.579,4.789,visual
127,TOOLBOX,0.737,0.0,2.421,0.0,0.263,4.789,visual
