,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
369,UNPADDED,0.526,0.263,4.0,0.895,0.263,3.579,haptic
370,SOFTCOVER,0.25,0.0,4.0,0.0,0.062,4.0,haptic
371,THORNINESS,0.562,0.188,4.0,1.438,0.375,2.562,haptic
372,COMBING,0.778,0.167,4.0,0.889,0.389,2.889,haptic
373,PRICKLINESS,0.438,0.062,4.0,1.625,0.0,2.688,haptic
374,SOFTLY,2.167,0.278,4.0,1.444,0.167,1.944,haptic
375,GENTLY,1.438,0.062,4.0,2.188,0.0,1.75,haptic
376,STRANGLE,1.471,0.176,4.0,2.647,0.176,3.059,haptic
377,HARDENING,0.632,0.211,4.0,0.632,0.211,2.737,haptic
378,UNSCREWING,1.579,0.263,4.0,1.263,0.316,3.684,haptic
379,PRESS DOWN,0.933,0.467,4.0,1.133,0.867,3.533,haptic
380,MOIST,1.062,2.375,4.0,1.25,1.312,3.375,haptic
381,LINEN,0.55,0.1,4.0,0.25,1.45,4.0,haptic
382,TICKLE,0.875,0.0,4.0,3.062,0.125,1.812,haptic
383,FLUFFILY,0.688,1.062,4.0,0.5,0.438,3.0,haptic
384,COAT,0.361,0.0,4.0,0.528,0.667,3.861,haptic
385,COLDNESS,0.4,0.85,4.0,2.7,0.1,1.85,haptic
386,THICK,0.421,0.579,4.0,0.737,0.105,3.632,haptic
387,HANDSHAKING,0.45,0.0,4.0,0.55,0.1,3.1,haptic
388,SCALP,0.0,0.0,4.0,1.176,0.0,3.706,haptic
389,WATER BED,2.263,0.053,4.0,1.211,0.158,3.895,haptic
390,FOOTBATH,1.0,0.059,4.0,1.471,0.588,3.588,haptic
391,TACKLED,1.886,0.114,4.0,2.857,0.171,3.114,haptic
392,PAT,1.097,0.0,3.968,0.613,0.0,2.71,haptic
393,WETTER,0.652,0.435,3.957,0.87,0.261,3.0,haptic
394,SOAP,0.095,0.667,3.952,0.095,3.381,3.81,haptic
395,UNLOCKING,2.667,0.0,3.952,0.143,0.0,3.762,haptic
396,SUNSCREEN,0.143,0.476,3.952,0.714,2.857,2.81,haptic
397,SMOOTHER,1.0,0.7,3.95,0.8,0.05,3.1,haptic
398,MOSQUITO BITE,0.15,0.0,3.95,2.45,0.0,3.8,haptic
399,SPANK,2.6,0.0,3.95,2.1,0.0,2.85,haptic
400,INDISPOSITION,1.538,0.385,0.692,1.846,0.385,1.846,vh_low
401,IRONIC,3.294,0.176,0.235,1.0,0.176,1.882,vh_low
402,SLUMBER,1.111,0.167,0.611,3.556,0.111,2.0,vh_low
403,UNMINDFUL,1.5,0.0,0.0,1.714,0.0,1.857,vh_low
404,SUBJECTIVE,1.944,0.333,0.5,1.333,0.333,1.611,vh_low
405,EXHAUSTED,0.368,0.0,0.368,4.895,0.0,1.105,vh_low
406,OBLIGATORILY,1.467,0.067,0.2,1.8,0.067,1.867,vh_low
407,TYPOLOGICAL,0.722,0.278,0.444,0.333,0.611,1.889,vh_low
408,ASPECT,0.824,0.176,0.235,0.529,0.176,1.471,vh_low
409,HUFFILY,2.235,0.0,0.0,0.588,0.235,1.882,vh_low
410,POWERLESS,1.2,0.0,0.4,3.8,0.0,2.0,vh_low
411,ATONABLE,1.615,0.0,0.308,1.615,0.0,1.692,vh_low
412,CONDITIONAL,1.722,0.111,0.222,0.722,0.167,1.667,vh_low
413,TEMPORAL,0.875,0.188,0.625,2.125,0.062,1.312,vh_low
414,ANALOGUE,1.75,0.188,1.062,0.188,0.125,1.812,vh_low
415,CONTENTIOUS,1.615,0.0,0.077,1.808,0.0,1.385,vh_low
416,LEGALISTIC,1.611,0.0,0.056,0.389,0.0,1.667,vh_low
417,INEVITABILITY,1.111,0.167,0.5,1.778,0.333,1.833,vh_low
418,VACILLATION,1.385,0.154,1.154,1.692,0.462,1.846,vh_low
419,FORTUITOUS,0.727,0.091,0.091,1.636,0.091,1.909,vh_low
420,CAROTENE,0.083,0.917,0.0,0.5,0.0,1.0,vh_low
421,IMAGINATIVE,1.526,0.158,0.316,1.842,0.211,1.789,vh_low
422,CIRCULATIVE,1.083,0.083,0.333,0.917,0.0,2.0,vh_low
423,UNRESERVED,1.211,0.263,0.368,1.526,0.158,1.368,vh_low
424,SINCE,1.556,0.111,0.389,0.889,0.222,1.667,vh_low
425,CONSTITUTE,1.25,0.375,0.875,0.438,0.312,1.688,vh_low
426,PRECONCEIVED,1.294,0.176,0.353,0.941,0.294,1.059,vh_low
427,SPONSORSHIP,1.5,0.167,0.056,0.556,0.111,1.778,vh_low
428,FOLKLORISTIC,2.526,0.053,0.105,0.211,0.158,1.789,vh_low
429,AFTERTHOUGHT,1.312,0.188,0.125,1.188,0.25,1.875,vh_low
430,CODELESS,0.444,0.0,0.167,0.0,0.0,1.667,vh_low
431,CHASTENED,1.889,0.056,0.444,1.167,0.0,1.5,vh_low
432,PROSLAVERY,1.235,0.059,0.294,1.176,0.118,1.471,vh_low
433,MOVE ON,0.789,0.0,0.158,1.895,0.0,1.895,vh_low
434,POSTPONE,2.375,0.0,0.188,0.438,0.0,1.562,vh_low
435,FORETHOUGHTFULLY,1.333,0.0,0.133,1.933,0.0,1.267,vh_low
436,HUMIDIFY,0.167,0.111,1.778,1.333,0.444,1.444,vh_low
437,BILLON,0.947,0.0,0.105,0.526,0.0,1.526,vh_low
438,IDEOLOGIST,2.067,0.067,0.2,0.2,0.067,1.867,vh_low
439,DEDUCE,0.647,0.118,0.353,1.412,0.118,1.706,vh_low
440,VOCATIONAL,1.533,0.0,0.4,0.8,0.0,2.0,vh_low
441,DILEMMA,1.472,0.0,0.111,2.417,0.056,1.583,vh_low
442,ILLEGITIMATE,1.625,0.062,0.25,1.188,0.125,2.0,vh_low
443,REWORD,2.833,0.0,0.167,0.333,0.0,1.833,vh_low
444,FINALITY,1.615,0.0,0.077,2.769,0.077,1.615,vh_low
445,EASILY,0.5,0.167,1.0,1.111,0.167,1.611,vh_low
446,EUPHORIC,1.778,0.722,1.111,4.444,0.611,1.944,vh_low
447,EARNER,0.857,0.0,0.571,0.857,0.0,1.643,vh_low
448,SINLESS,0.944,0.0,0.167,1.556,0.0,1.5,vh_low
449,MELANCHOLIC,1.357,0.071,0.357,4.429,0.143,1.857,vh_low
450,DISQUALIFY,1.053,0.316,0.368,0.579,0.158,1.474,vh_low
451,FRETFUL,1.889,0.0,0.056,2.556,0.0,1.889,vh_low
452,INTELLECTUALISTIC,2.286,0.0,0.0,1.214,0.0,2.0,vh_low
453,SOULLESSLY,1.353,0.235,0.412,2.294,0.118,1.412,vh_low
454,TARTLY,0.556,3.778,0.389,1.0,0.667,1.0,vh_low
455,EGREGIOUSLY,2.0,0.091,1.091,1.0,0.364,1.727,vh_low
456,CONCERN,3.0,0.0,0.368,3.263,0.053,2.0,vh_low
457,CONSTITUTIONALISM,1.421,0.053,0.263,1.211,0.053,1.474,vh_low
458,CONSUMPTIVE,0.615,1.154,0.154,1.769,0.0,1.846,vh_low
459,PREDICATIVELY,0.824,0.059,0.059,0.588,0.0,1.529,vh_low
460,DISFAVOR,1.571,0.357,0.929,1.5,0.357,1.286,vh_low
461,UNLOOKED,0.429,0.143,0.286,1.143,0.071,1.571,vh_low
462,PRESUMPTUOUSNESS,2.303,0.061,0.121,1.394,0.061,1.788,vh_low
463,CERTAIN,1.812,0.312,0.375,2.625,0.375,1.75,vh_low
464,BANK HOLIDAY,1.167,0.111,0.167,0.667,0.111,1.722,vh_low
465,UNKNOWINGNESS,1.765,0.0,0.235,1.824,0.0,1.412,vh_low
466,TRUMPETING,4.5,0.062,0.438,0.812,0.062,1.875,vh_low
467,VASCULAR,0.3,0.1,0.6,2.35,0.05,1.8,vh_low
468,COLLECTIVIST,1.571,0.071,1.143,0.857,0.214,2.0,vh_low
469,FORMALIZE,1.176,0.0,0.176,0.706,0.0,1.647,vh_low
470,UTTERMOST,1.615,0.462,0.615,1.0,0.385,1.923,vh_low
471,EYESTRAIN,0.0,0.0,0.444,3.222,0.0,1.667,vh_low
472,DIGESTER,1.357,1.071,1.0,2.857,0.5,1.143,vh_low
473,BACKED,1.118,0.0,0.118,0.529,0.0,1.529,vh_low
474,UNSUBSIDIZED,0.941,0.294,0.353,0.471,0.235,1.412,vh_low
475,RITUALLY,1.667,0.0,0.389,1.0,0.0,1.833,vh_low
476,FLUKE,0.714,0.0,0.143,0.643,0.0,1.857,vh_low
477,GRATIFIED,1.176,0.118,0.412,2.588,0.176,2.0,vh_low
478,DELICIOUSLY,0.444,4.278,0.056,1.167,2.5,1.667,vh_low
479,ANTICHRIST,1.944,0.0,0.056,1.278,0.056,1.889,vh_low
480,NONRANDOM,0.706,0.412,0.412,0.588,0.294,1.765,vh_low
481,THANKFULNESS,1.895,0.0,0.579,2.579,0.0,2.0,vh_low
482,VIRULENTLY,1.154,0.538,0.923,1.692,0.615,1.692,vh_low
483,THEOLOGICALLY,1.875,0.0,0.062,1.812,0.0,1.625,vh_low
484,NONPLUS,1.467,0.0,0.0,0.6,0.0,2.0,vh_low
485,DEFENSIBILITY,0.8,0.0,0.067,1.533,0.0,1.667,vh_low
486,REALLY,1.842,0.474,0.579,0.737,0.474,1.684,vh_low
487,ABOLITION,0.727,0.0,0.273,1.182,0.0,1.273,vh_low
488,FRUGALNESS,1.111,0.222,0.5,0.889,0.056,1.778,vh_low
489,PEP TALK,4.421,0.0,0.0,0.737,0.0,1.632,vh_low
490,WINDED,1.667,0.111,0.5,3.222,0.056,1.722,vh_low
491,QUACKERY,1.467,0.133,0.133,0.267,0.133,1.0,vh_low
492,COMPANIONABLY,1.067,0.0,0.8,1.933,0.0,1.667,vh_low
493,ION,0.2,0.0,0.4,0.267,0.133,1.133,vh_low
494,SODIUM,0.333,4.056,1.111,0.833,0.278,1.944,vh_low
495,GLADLY,1.526,0.421,0.579,1.895,0.263,1.684,vh_low
496,REMORTGAGE,0.389,0.056,0.111,0.111,0.056,1.833,vh_low
497,BEMUSEDLY,0.917,0.083,0.0,1.833,0.0,1.5,vh_low
498,ARBITRATIVE,1.771,0.062,0.229,0.438,0.042,1.271,vh_low
499,BACTERIUM,0.267,0.467,0.267,1.8,0.867,1.733,vh_low
500,POSTULATE,2.571,0.071,0.429,2.0,0.0,1.0,vh_low
501,HENCE,1.467,0.0,0.0,0.8,0.0,1.267,vh_low
502,PHYSIOLOGICALLY,1.111,0.278,1.389,3.722,0.278,1.611,vh_low
503,OVERANALYZE,1.684,0.105,0.368,1.421,0.105,1.368,vh_low
504,ALIENABILITY,1.625,0.312,0.812,1.375,0.312,1.5,vh_low
505,VIGOR,1.556,0.167,0.333,4.0,0.167,1.889,vh_low
506,PROLAPSED,0.812,0.0,0.938,2.125,0.062,1.812,vh_low
507,EXCUSABLY,1.0,0.158,0.211,0.737,0.263,1.526,vh_low
508,REASON,2.95,0.0,0.0,2.0,0.0,1.8,vh_low
509,BLUSTERING,2.412,0.059,1.412,0.941,0.0,1.941,vh_low
510,INTERNALIZATION,1.75,0.25,0.375,2.312,0.125,1.5,vh_low
511,TELEPHONE CALL,4.875,0.0,1.188,0.062,0.0,1.375,vh_low
512,CAUSELESSLY,0.357,0.286,0.286,1.429,0.286,1.643,vh_low
513,UNADVISED,2.25,0.062,0.312,1.688,0.062,1.75,vh_low
514,DISEASE,0.429,0.333,1.19,3.619,0.81,1.952,vh_low
515,REFUTATION,2.667,0.417,0.208,1.083,0.208,1.833,vh_low
516,POTENTIATE,0.588,0.176,0.294,0.765,0.176,1.941,vh_low
517,MISTAKABLE,1.3,0.1,0.35,1.1,0.1,1.7,vh_low
518,SEMICONDUCTING,0.562,0.0,0.688,0.0,0.062,1.812,vh_low
519,REEVALUATE,1.789,0.053,0.211,0.895,0.105,1.737,vh_low
520,ULTIMATE,1.053,0.526,0.684,1.421,0.368,1.421,vh_low
521,REPUTEDLY,2.778,0.278,0.333,0.722,0.167,1.611,vh_low
522,MORALIST,2.176,0.294,0.294,1.294,0.235,1.471,vh_low
523,TRIBUNE,2.364,0.273,0.545,0.273,0.364,1.909,vh_low
524,LIKELY,1.176,0.235,0.294,1.353,0.235,1.765,vh_low
525,ASPIRING,1.667,0.0,0.143,2.524,0.0,2.0,vh_low
526,HYPERCRITICAL,2.125,0.0,0.0,1.062,0.0,2.0,vh_low
527,INSIGHTFUL,3.167,0.0,0.0,2.111,0.0,1.222,vh_low
528,VENTRICULAR,0.818,0.0,1.0,3.636,0.0,1.727,vh_low
529,NEEDLESSLY,1.0,0.25,0.312,0.875,0.25,1.438,vh_low
530,ESOTERICALLY,1.548,0.452,0.581,1.323,0.452,1.806,vh_low
531,BLESSEDLY,1.688,0.375,0.688,1.25,0.438,2.0,vh_low
532,DOWNTIME,0.773,0.0,0.318,2.0,0.136,1.682,vh_low
533,FORESEEABLE,0.889,0.278,0.278,1.556,0.278,1.944,vh_low
534,SPARE TIME,0.611,0.167,0.444,1.833,0.222,1.222,vh_low
535,UTTER,2.933,0.0,0.6,0.867,0.0,1.0,vh_low
536,EMASCULATOR,0.846,0.0,0.692,1.077,0.0,1.154,vh_low
537,UNCORRUPT,1.3,0.1,0.2,0.9,0.2,1.95,vh_low
538,TANG,0.2,3.6,0.733,1.2,1.0,1.867,vh_low
539,SLIGHT,1.333,0.381,0.476,0.952,0.286,1.857,vh_low
540,INSATIABLE,0.812,1.25,0.062,2.188,0.375,1.125,vh_low
541,RESTRICTEDLY,1.45,0.05,0.3,0.4,0.0,2.0,vh_low
542,DOTINGLY,1.273,0.182,0.909,1.545,0.455,1.727,vh_low
543,STATEWIDE,0.467,0.0,0.0,0.267,0.0,1.6,vh_low
544,OBTAINER,0.917,0.0,1.333,0.0,0.0,1.833,vh_low
545,FORESIGHTEDNESS,1.188,0.0,0.062,1.938,0.0,2.0,vh_low
546,PERMISSIBLY,2.529,0.353,0.412,1.294,0.176,1.529,vh_low
547,URGENTLY,1.812,0.5,0.812,3.0,0.5,1.938,vh_low
548,BELLOW,3.733,0.133,0.2,0.333,0.0,1.533,vh_low
549,REMINISCENCE,1.118,0.0,0.118,2.176,0.0,1.588,vh_low
550,EXCITABILITY,1.588,0.0,0.176,2.118,0.059,1.353,vh_low
551,PIOUS,1.824,0.176,0.471,2.353,0.294,1.765,vh_low
552,BRISK,1.0,0.471,1.294,1.647,0.353,1.588,vh_low
553,OVARIAN,0.812,0.0,0.531,0.906,0.031,1.625,vh_low
554,EVANGELICALLY,2.611,0.0,0.0,1.222,0.056,1.778,vh_low
555,WORTHWHILE,1.529,0.176,0.353,1.824,0.235,1.941,vh_low
556,COULD,1.529,0.176,0.412,1.647,0.118,1.412,vh_low
557,REFERRAL,1.7,0.0,0.0,0.45,0.0,1.5,vh_low
558,ALTERNATIVE,1.722,0.056,0.111,0.5,0.056,1.889,vh_low
559,SWORN,3.375,0.0,0.0,1.375,0.0,1.5,vh_low
560,IMPERSONAL,1.421,0.053,0.684,1.368,0.053,1.474,vh_low
561,SECRETIVENESS,2.105,0.053,0.474,1.684,0.053,1.474,vh_low
562,HYPERBOLICALLY,3.3,0.4,0.2,0.6,0.2,1.7,vh_low
563,SCHIZOID,1.429,0.357,0.357,0.929,0.286,1.5,vh_low
564,MENTION,4.5,0.0,0.188,0.25,0.0,1.438,vh_low
565,HEREIN,0.714,0.071,0.286,1.0,0.214,1.357,vh_low
566,URETHRA,0.211,0.105,0.842,2.211,0.211,1.474,vh_low
567,PHOTON,0.474,0.158,0.263,0.211,0.0,1.684,vh_low
568,ANCESTRY,0.706,0.118,0.059,0.294,0.0,1.529,vh_low
569,GUILE,1.667,0.0,0.067,0.867,0.0,1.467,vh_low
570,ADMIRABLY,1.824,0.059,0.235,1.294,0.118,1.647,vh_low
571,PSEUDONYM,2.118,0.0,0.0,0.176,0.0,1.471,vh_low
572,HARDLY,1.429,0.486,0.714,0.8,0.571,1.657,vh_low
573,PANCREAS,0.222,0.056,0.889,2.0,0.0,1.333,vh_low
574,UNSEEMLINESS,0.938,0.0,0.25,1.438,0.375,1.875,vh_low
575,BILINGUALISM,3.875,0.156,0.0,0.438,0.0,1.188,vh_low
576,SPECULATIVELY,1.444,0.111,0.056,1.444,0.111,1.778,vh_low
577,QUARK,0.467,0.0,0.333,0.667,0.0,1.867,vh_low
578,FREE WILL,1.0,0.361,0.389,3.222,0.167,1.25,vh_low
579,INTUITIVENESS,1.0,0.467,0.6,3.533,0.533,1.4,vh_low
580,LOCALIZABLE,0.769,0.385,0.538,0.615,0.077,1.615,vh_low
581,PHILOSOPHICAL,2.833,0.0,0.167,1.111,0.0,1.722,vh_low
582,SPECULATION,2.105,0.211,0.263,1.368,0.211,1.368,vh_low
583,INTERFAITH,1.154,0.0,0.231,1.615,0.0,1.154,vh_low
584,ALLERGENIC,0.438,0.188,0.938,2.688,0.5,1.062,vh_low
585,PRONTO,1.333,0.0,0.111,1.556,0.0,1.944,vh_low
586,BABBLE,4.0,0.053,0.474,0.526,0.053,1.211,vh_low
587,JOYLESSNESS,1.0,0.278,0.389,2.722,0.333,1.722,vh_low
588,INCONSUMABLE,0.2,1.85,1.25,1.45,1.55,1.6,vh_low
589,CONTINUALLY,0.824,0.353,0.471,0.412,0.412,1.882,vh_low
590,HIBERNATION,0.25,0.0,0.062,1.812,0.0,1.688,vh_low
591,MICROSECOND,1.059,0.118,0.176,0.647,0.0,1.118,vh_low
592,CHIME,4.235,0.0,1.118,0.059,0.0,1.941,vh_low
593,INTELLECTUALIZATION,2.312,0.0,0.062,1.875,0.0,1.938,vh_low
594,EXCUSER,2.25,0.25,0.3,0.85,0.25,1.5,vh_low
595,BLOODLUST,0.556,0.556,0.389,1.389,0.611,1.722,vh_low
596,VOICE,4.75,0.375,0.688,1.812,0.5,1.125,vh_low
597,NEW WAVE,3.118,0.0,0.059,0.706,0.0,1.529,vh_low
598,AIRING,1.611,0.333,1.0,0.389,0.722,1.778,vh_low
599,RINGER,3.533,0.067,0.467,0.267,0.0,1.867,vh_low
600,AFFIX,0.929,0.143,2.857,1.0,0.214,2.571,vh_med
601,SOAK UP,0.444,0.333,2.667,2.111,0.278,2.722,vh_med
602,SUCKING,2.688,1.438,2.625,2.625,0.375,2.938,vh_med
603,UNWIELDINESS,0.538,0.0,2.154,1.154,0.0,2.846,vh_med
604,STIFFEN,0.059,0.0,2.118,1.059,0.0,2.824,vh_med
605,SNATCH UP,0.647,0.059,2.529,0.588,0.059,2.941,vh_med
606,THYME,0.412,3.529,2.176,0.294,2.941,2.706,vh_med
607,ABSORBENCY,0.158,0.053,2.211,0.316,0.211,2.526,vh_med
608,ASSEMBLE,1.235,0.059,2.294,0.294,0.059,2.941,vh_med
609,OAR,0.412,0.0,2.353,0.118,0.176,3.0,vh_med
610,DRINKING,0.647,4.765,2.118,2.529,1.588,2.353,vh_med
611,CUTTER,0.889,0.222,2.167,1.0,0.5,3.0,vh_med
612,RESUSCITATION,1.714,0.357,2.357,2.643,0.286,2.786,vh_med
613,FLESHLY,0.867,0.467,2.133,0.867,0.667,2.8,vh_med
614,NONDRYING,0.188,0.0,2.438,0.312,0.0,2.375,vh_med
615,INTIMATELY,2.0,0.529,2.176,2.412,0.647,2.882,vh_med
616,ORAL,2.111,2.167,2.111,1.667,0.278,2.389,vh_med
617,MOUSSE,0.375,2.125,2.188,0.562,1.938,2.812,vh_med
618,NESTLE,0.706,0.412,2.765,0.824,0.588,2.118,vh_med
619,MOLESTATION,1.895,0.263,2.737,2.211,0.632,2.789,vh_med
620,VISCOUSLY,1.737,0.789,2.105,1.158,0.316,2.684,vh_med
621,INDESTRUCTIBILITY,0.737,0.0,2.526,0.737,0.105,2.632,vh_med
622,IGNITION,2.294,0.059,2.059,0.647,0.706,2.647,vh_med
623,ARIDITY,0.417,0.25,2.917,1.083,0.667,2.833,vh_med
624,DEMOUNT,0.667,0.133,2.0,1.067,0.133,2.267,vh_med
625,EMULSIFIER,0.571,1.071,2.071,0.429,0.357,2.857,vh_med
626,KERNEL,0.824,1.529,2.0,0.059,0.353,2.647,vh_med
627,PLEASURE,2.1,2.3,2.8,4.4,1.95,2.8,vh_med
628,UNFROSTED,0.0,1.941,2.059,0.0,0.235,2.529,vh_med
629,STEPS,2.167,0.0,2.111,0.611,0.056,2.944,vh_med
630,MOUTH,1.211,2.0,2.579,1.263,0.737,2.947,vh_med
631,USE,1.389,1.167,2.778,1.0,1.222,2.111,vh_med
632,KNOBLIKE,0.176,0.176,2.588,0.235,0.235,2.941,vh_med
633,CHALKY,0.444,2.389,2.667,0.444,0.722,2.333,vh_med
634,SEPARABLE,0.5,0.0,2.5,0.375,0.0,2.812,vh_med
635,TWITCHINGLY,0.143,0.0,2.357,2.143,0.0,2.143,vh_med
636,SOAKER,0.737,0.053,2.0,0.711,0.079,2.632,vh_med
637,SOWING,0.222,0.056,2.444,0.222,0.222,2.556,vh_med
638,HORNY,0.733,0.2,2.933,4.6,0.467,2.533,vh_med
639,SEMIDRYING,0.2,0.0,2.2,0.3,0.4,2.3,vh_med
640,WELT,0.0,0.0,2.4,0.933,0.067,2.933,vh_med
641,INSULATOR,0.667,0.0,2.333,0.556,0.278,2.833,vh_med
642,LABIA,0.0,1.0,2.643,1.357,0.929,2.929,vh_med
643,TOPOLOGICAL,0.529,0.176,2.176,0.294,0.176,2.765,vh_med
644,UNLOOSE,0.444,0.0,2.0,1.0,0.0,2.611,vh_med
645,ENCAPSULATE,0.684,0.0,2.316,0.421,0.0,2.895,vh_med
646,DUSTPROOF,0.357,0.0,2.071,0.571,0.071,2.786,vh_med
647,SHAPING,0.125,0.125,2.312,0.188,0.062,2.438,vh_med
648,RIND,0.556,1.611,2.5,0.389,1.5,3.0,vh_med
649,PROCTOLOGIST,1.235,0.0,2.235,1.353,0.059,2.941,vh_med
650,ANGLING,0.938,0.0,2.188,0.25,0.125,2.875,vh_med
651,ASPIRIN,0.056,2.944,2.333,1.444,0.889,2.611,vh_med
652,PIGGYBACK,0.75,0.1,2.6,0.6,0.15,2.6,vh_med
653,SANDING,1.474,0.0,2.474,0.158,0.053,2.474,vh_med
654,SILKWEED,0.267,0.6,2.667,0.467,1.6,2.667,vh_med
655,CLING TO,0.722,0.111,2.722,0.5,0.167,2.778,vh_med
656,SODOMY,1.389,0.111,2.556,2.222,0.278,2.222,vh_med
657,TOUGHEN,1.294,0.294,2.235,1.471,0.059,2.529,vh_med
658,PROCTOLOGY,0.75,0.062,2.312,2.812,0.625,2.625,vh_med
659,CONNECTION,1.158,0.474,2.053,1.579,0.579,2.684,vh_med
660,STUBBED,1.176,0.0,2.941,3.0,0.0,2.647,vh_med
661,BRISKNESS,1.118,0.235,2.353,1.471,0.412,2.471,vh_med
662,LOVING,2.05,0.55,2.5,3.7,0.6,2.65,vh_med
663,CHALKINESS,0.111,2.667,2.833,0.389,0.5,2.667,vh_med
664,TUGGING,0.562,0.0,2.312,1.312,0.188,2.0,vh_med
665,OILSKIN,0.0,0.0,2.8,0.133,0.4,2.133,vh_med
666,INTIMATE,2.08,0.48,2.24,2.96,0.6,2.72,vh_med
667,SOOTINESS,0.917,1.25,3.0,1.25,1.833,2.833,vh_med
668,CATHETER,0.235,0.0,2.0,2.118,0.294,2.471,vh_med
669,DENSITY,0.4,0.25,2.5,0.7,0.0,2.9,vh_med
670,TEMPERATURE,0.111,0.778,2.944,2.444,0.056,2.111,vh_med
671,GRAPHITE,0.571,0.0,2.714,0.071,0.929,2.643,vh_med
672,CROWNWORK,0.727,0.273,2.0,1.091,0.091,2.818,vh_med
673,UNTWIST,0.333,0.0,2.056,0.111,0.167,2.611,vh_med
674,FRICTION,1.412,0.0,2.882,0.941,0.176,2.529,vh_med
675,THICKLY,0.471,0.824,2.118,0.647,0.529,2.118,vh_med
676,TENDERLY,1.25,0.0,2.375,1.75,0.0,2.125,vh_med
677,EJACULATORY,1.135,0.568,2.486,3.892,0.973,3.0,vh_med
678,KNEELER,1.0,0.462,2.154,0.538,0.846,3.0,vh_med
679,SHOCK,1.842,0.684,2.053,3.737,0.895,2.263,vh_med
680,ZIPS,2.267,0.2,2.133,0.6,0.267,2.467,vh_med
681,HURTING,2.211,0.053,2.421,4.368,0.053,2.579,vh_med
682,SLACKNESS,0.421,0.0,2.632,1.158,0.053,2.632,vh_med
683,TUCK,0.133,0.0,2.133,0.533,0.0,2.2,vh_med
684,LICE,0.25,0.125,2.0,1.625,0.094,2.625,vh_med
685,STUNG,0.778,0.222,2.861,2.833,0.25,2.278,vh_med
686,BLOATING,0.312,0.0,2.062,3.562,0.062,2.938,vh_med
687,BUNKBED,0.778,0.0,2.556,0.5,0.167,2.833,vh_med
688,BRISTLED,0.95,0.05,2.7,1.1,0.0,2.8,vh_med
689,FORCIBLENESS,2.462,0.077,2.077,1.231,0.0,2.692,vh_med
690,FREEHANDEDNESS,0.467,0.2,2.0,1.0,0.2,2.933,vh_med
691,LIP,0.647,1.471,2.941,1.176,0.353,2.941,vh_med
692,LANCES,0.375,0.0,2.062,0.875,0.062,3.0,vh_med
693,BOUGHT,2.0,0.444,2.167,0.611,0.389,3.0,vh_med
694,AUGMENTATION,0.857,0.714,2.143,1.357,0.643,2.929,vh_med
695,VALENTINE,1.895,0.316,2.0,1.263,0.526,2.947,vh_med
696,FANNING,1.278,0.0,2.444,0.778,0.111,2.778,vh_med
697,COMFORTABLY,1.889,0.333,2.056,3.278,0.333,2.389,vh_med
698,HEAT PUMP,1.1,0.0,2.6,0.4,0.15,2.95,vh_med
699,REFOLD,0.389,0.111,2.833,0.167,0.167,2.667,vh_med
700,HANDPICK,1.0,0.0,2.118,0.471,0.0,3.0,vh_med
701,DISHPAN,0.235,0.0,2.294,0.0,0.235,2.706,vh_med
702,UNWIELDY,1.235,0.647,2.0,1.529,0.471,3.0,vh_med
703,PRESSINGLY,1.25,0.188,2.188,1.438,0.188,2.188,vh_med
704,PRONG,0.429,0.286,2.214,0.571,0.0,2.929,vh_med
705,SQUIRMING,1.0,0.143,2.286,1.714,0.071,2.857,vh_med
706,DAGGERED,0.667,0.067,2.8,1.4,0.067,2.8,vh_med
707,FEATHERWEIGHT,0.556,0.056,2.722,0.944,0.0,2.222,vh_med
708,OBTAINMENT,1.071,0.214,2.286,0.571,0.143,2.786,vh_med
709,INFLAMMATION,0.316,0.158,2.684,2.526,0.263,2.895,vh_med
710,PRIED,1.167,0.25,2.083,0.333,0.083,2.083,vh_med
711,NIP,1.312,0.75,2.062,1.375,0.562,2.562,vh_med
712,GUMMING,0.733,1.467,2.067,0.8,0.133,2.667,vh_med
713,PENETRATOR,1.231,0.615,2.192,2.115,0.462,2.615,vh_med
714,WOVE,0.333,0.0,2.556,0.167,0.0,2.5,vh_med
715,EARPLUG,1.52,0.0,2.88,0.44,0.04,2.6,vh_med
716,WINTERISH,0.938,0.625,2.438,1.875,1.125,2.812,vh_med
717,TUNING,3.588,0.529,2.235,0.824,0.353,2.294,vh_med
718,REWEAVE,0.133,0.0,2.067,0.067,0.067,2.6,vh_med
719,PLASTICALLY,0.357,0.214,2.143,0.286,0.786,2.571,vh_med
720,PULP,0.278,3.222,2.333,0.5,0.944,3.0,vh_med
721,STRONG,1.421,0.632,2.684,2.368,0.368,2.947,vh_med
722,FIBER,0.632,2.158,2.211,0.737,0.842,2.737,vh_med
723,SOFTWOOD,0.294,0.176,2.176,0.0,0.235,3.0,vh_med
724,MOTHERING,1.476,0.19,2.0,2.381,0.333,2.619,vh_med
725,PULSATION,1.579,0.0,2.947,2.632,0.0,2.316,vh_med
726,IMMERSE,1.125,0.188,2.062,1.562,0.125,2.75,vh_med
727,FORCELESS,0.706,0.294,2.0,2.118,0.294,2.471,vh_med
728,HOIST,0.714,0.0,2.5,1.286,0.0,2.929,vh_med
729,MARROWBONE,0.125,1.312,2.25,0.312,0.875,2.875,vh_med
